Basic-Block,gen[B],kill[B],in[B],out[B]
B0,D0,,,D0
B1,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B10,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D3 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D3 D5 D6 D7 D8 D9
B11,D3,D13 D17 D6 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D3 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D5 D7 D8
B12,,,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8
B13,,,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8
B14,,,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8
B15,D4,D1 D2,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8,D0 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8
B16,,,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8
B17,,,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8
B18,,,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D3 D4 D5 D7 D8
B19,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B2,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B20,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B21,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B22,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B23,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B24,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B25,,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B26,D5,,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9
B27,D6,D13 D17 D3 D9,D0 D1 D10 D11 D12 D14 D15 D16 D17 D18 D19 D2 D3 D4 D5 D6 D7 D8 D9,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D2 D4 D5 D6 D7 D8
B28,,,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D2 D4 D5 D6 D7 D8,D0 D1 D10 D11 D12 D14 D15 D16 D18 D19 D2 D4 D5 D6 D7 D8
